A lot	ᏥᏍᏈᏍᏓ	[tsgwisda] /rrd/
Granddaughter	ᎤᎵᏏ	[uːliːsi] (his) /rrd/
Grandmother	ᎤᎵᏏ	[uːliːsi] (his) /rrd/
Grandson	ᎤᏂᏏ	[uːniːsi] (his) /rrd/
Grass	ᎦᏄᎸᎯ	[ganuːlvhi] /rrd/
Grasshopper	ᏙᎯᏥᏆ	[toːhitsgwa] /rrd/
Grasshopper	ᏙᎳᏥ	[toːlatsi] /rrd/
Graty blue heron	ᎧᏂᏍᎦᏩ	[kanisgawa] /rrd/
Grave	ᎦᏂᏌᎲᎢ	[ganiːsahvʔi] /rrd/
Gravy	ᎤᎦᎹ	[uːgama] /rrd/
Gray	ᏌᎪᏂᎨ ᎤᏍᎪᎸᎢ	[sakoːnige usgoːlvʔi] /rrd/
Gray catbird	ᎤᏥᎹ	[uːtsiʔma] /rrd/
Gray fox	ᏧᎳ ᏌᎪᏂᎨ	[tsuːla sakoːnige] /rrd/
Gray squirrel	ᏌᎶᎵ	[saloːli] /rrd/
Grazing	ᎠᏂᏛᎿᏗᎠ	[andvːhnadiʔa] /rrd/
Grease	ᎪᎢ	[goʔi] /rrd/
Great bulrush	ᎦᎾᎦᏥ ᎤᏔᎾ	[ganaːgatsi utana] /rrd/
Great deal of	ᏥᏍᏈᏍᏓ	[tsgwisda] /rrd/
Green	ᎠᏤᎯ	[atseːhi] (of plants) /rrd/
Green amaranth	ᏩᏥᎦ	[watsga] /rrd/
Greeting him	ᎠᏲᎵᎭ	[ayóːʔliha] /rrd/
Grifola frondosa	ᏫᏏ	[wiːsi] /rrd/
Grinding it	ᎠᏍᏙᎠ	[ahsdoːʔa] /rrd/
Gritter	ᎠᏑᎪᏍᏗ	[asuːgosdi] /rrd/
Ground	ᎡᎳᏗ	[eːladi] (on the) /rrd/
Ground bean	ᏚᏯ ᎢᎾᎨᎢ	[tuːya inageʔi] /rrd/
Ground lemon	ᎤᏂᏍᏇᏚᎦ	[unisgweːduːga] /rrd/
Ground snake	ᎪᎢ	[goʔi] /rrd/
Groundcherry	ᎤᏅᏚᎯᏍᏓ	[unvːduhiːsda] /rrd/
Groundhog	ᎣᎦᏅ	[oːganv] /rrd/
Group	ᎤᏂᏣᏛ	[uːniːtsadv] /rrd/
Group	ᎱᎾᏓᏥᎬ	[huːndaːdsgv] /rrd/
Group	ᎡᎳ	[ehla] (in a) /rrd/
Growing	ᎠᏛᏍᎦ	[atvhsga] /rrd/
Growing	ᎠᎵᏰᎲᏍᎦ	[aliyeːhvhsga] (a plant) /rrd/
Grown-up	ᎤᏔᎾ	[uːtana] /rrd/
Grus americana	ᎧᎾᏍᎦᏫ	[kansgawi] /rrd/
Gryllus assimilis	ᏔᎳᏚ	[talaːdu] /rrd/
Guineafowl	ᎫᏇ ᏗᎦᎾᏌᎢ	[guːgwe digaːnasaʔi] /rrd/
Gun	ᎦᎶᏇ	[galogwe] /rrd/
Gyrinus spp	ᏙᏳᏂᏏ	[doːyuniːsi] /rrd/
Haemorhous purpureus	ᎤᏦᏁᏗ	[utsoːneːdi] /rrd/
Hailing	ᎦᏁᏐᎣᏍᎦ	[ganeːsoʔosga] /rrd/
Hair on the head	ᏍᏗᏰᎬᎢ	[sdiyekvʔi] /rrd/
Hairy	ᎤᏳᏩᎾ	[uːyuwaʔna] /rrd/
Half	ᎠᏰᎵ	[ayehli] /rrd/
Haliaeetus leucocephalus	ᎠᏬᎯᎵ	[awohili] /rrd/
Ham	ᎦᎦᎶ	[gaːgalo] (whole) /rrd/
Ham, portion of	ᎦᎦᎶ ᎠᎦᎭᎸᏓ	[gaːgalo agahalvːda] /rrd/
Ham, sliced	ᎦᎦᎶ ᎠᎦᎭᎸᏓ	[gaːgalo agahalvːda] /rrd/
Hamamelis virginiana	ᎦᎾᏑᏛᎶ	[gansuːdvlo] /rrd/
Hammer	ᎦᏅᏆᎶᏍᏗ	[ganvːgwaloːsdi] /rrd/
Hammer	ᎦᏅᏆᎶᏍᏗ	[ganvːkwalosdi] /rrd/
Hammer	ᎬᏂᎵᏓᏍᏙᏗ	[gvːniliːdaːsdoʔdi] /rrd/
Hammering it in	ᎠᎭᏔᏍᎦ	[aːhatahsga] /rrd/
Hand	ᎤᏬᏰᏂ	[uːwoʔyeːni] (his) /rrd/
Handing it to him	ᎠᎥᏏ	[aʔv́hsi] (something solid) /rrd/
Handkerchief	ᎭᏯᏦᎯ	[hayaːtsoːhi] /rrd/
Hanging it up	ᎦᏛᎥᏍᎦ	[gadv́ʔvːsga] (something alive) /rrd/
Hanging it up	ᎦᏛᎥᏍᎦ	[gadv́ʔvːsga] (something flexible) /rrd/
Hanging it up	ᎠᏙᏌᏗᎠ	[ahtoːsádiʔa] (something long) /rrd/
Hanging it up	ᎠᏔᏍᎦ	[atáhsga] (something solid) /rrd/
Happens	ᏂᎦᎵᏍᏗᎭ	[nigaːlsdiha] /rrd/
Happy	ᎠᎵᎮᎵᎦ	[alihéːliʔga] /rrd/
Hard	ᎠᏍᏓᏱ	[aʔsdaːyi] /rrd/
Hard	ᏍᏓᏯ	[sdaːya] /rrd/
Hard corn	ᏧᏍᏓᏱ	[tsusdaːyi] (past roasting stage) /rrd/
Harelip	ᏧᏚᎶᏗ	[tsuduːloːdi] /rrd/
Harness	ᎠᏯᏨᏗ	[ahyatsvhdi] /rrd/
Has a birthday	ᎤᏕᏘᏱᎭ	[uːdehtiːyiha] /rrd/
Has a family	ᏚᎵᏘᎿᎠ	[duːltiːhnaʔa] /rrd/
Has a fever	ᎤᏗᎴᎲᏍᎦ	[uːdileːhvhsga] /rrd/
Has a sore	ᎤᏥᏓᎳᏗᎠ	[uːtsdaladiʔa] /rrd/
Has a tail	ᎦᏂᏓᏓ	[ganiːdada] /rrd/
Has a toothache	ᎤᏳᏆᏗᎠ	[ùːhyúgwadiʔa] /rrd/
Has an earache	ᎤᎵᏍᏆᏗᎠ	[uːlíːsgwadiʔa] /rrd/
Has an inclination to	ᎤᏚᎵᏗᎭ	[uːduːhldiha] /rrd/
Has an itch	ᎬᎩᏣᎴᎠ	[gv́ːgitsaleʔa] /rrd/
Has chills	ᎤᏅᏩᏍᏗᎭ	[uːnvːwahsdiha] /rrd/
Has diarrhea	ᎤᏍᏉᎳᏗᎠ	[uːhsgwoːladiʔa] /rrd/
Has his mouth open	ᎤᏔᎶᎦ	[uːtaloːga] /rrd/
Has it	ᎤᏁᎭ	[uːneha] (a liquid) /rrd/
Has it	ᎤᏩᎧᎭ	[uːwaːkaha] (something alive) /rrd/
Has it	ᎤᎾᎠ	[uːnaʔa] (something flexible) /rrd/
Has it	ᎤᏩᏯ	[uːwaːya] (something long) /rrd/
Has it	ᎤᎭ	[uːha] (something solid) /rrd/
Has livestock or animals	ᎤᎧᎿᎠ	[uːhkáhnaʔa] /rrd/
Hat	ᎤᎵᏍᏇᏔᏬᎯ	[uːhlsgweːtawohi] (his) /rrd/
Hating him	ᎦᏂᏆᏘᎭ	[ganigwátiːha] /rrd/
Having a holiday	ᎤᏙᏓᏆᎠ	[uːdóːdagwaʔa] /rrd/
Hawk	ᏔᏬᏗ	[tawoːdi] /rrd/
Hay	ᎧᏁᏍᎦ	[kaneːsga] /rrd/
Hazel alder	ᎠᏤᏓ	[aːhtseːhd] /rrd/
Hazelnut	ᎠᏳᎩᏓ	[ahyugiːda] /rrd/
He/she/it is becoming	ᏂᎦᎵᏍᏗᎭ	[nigaːlsdiha] /rrd/
Head	ᎠᏍᎪᎵ	[asgoːli] (his) /rrd/
Healing up	ᎠᏗᏫᏍᎦ	[adiːhwsga] /rrd/
Hearing it	ᎠᏛᎩᎠ	[ahtvːgiʔa] /rrd/
Hearse	ᏧᏂᏲᎱᏒ ᏗᎦᎾᎩᏏᏙᎯ	[tsuniːyohusv diganagiːsiːdoːhi] /rrd/
Heart	ᎦᎾᏫᎯ	[ganaːhwihi] /rrd/
Heart	ᎤᏓᏅᏙ	[uːdaːndo] (his) /rrd/
Heartleaf	ᎤᏂᏍᏆᎵ	[uniːsgwaːli] /rrd/
Heat	ᎤᏗᎴᎬᎢ	[udileːgvʔi] /rrd/
Heater	ᎠᎦᎾᏬᎯᏍᏗ	[agaːnawohisdi] /rrd/
Heaven	ᎦᎸᎳᏗ	[galv́ːladi] /rrd/
Heavy coat	ᎤᎭᎨᏗ ᎦᏌᎴᎾ	[uːhageːdi gaːsaleːna] /rrd/
Heel of the foot	ᎦᏗᎨᏂ	[gadiːgeːni] (his) /rrd/
Height	ᎢᎦᏗ	[iːgadi] /rrd/
Held erect	ᎤᏎᎳᏘ	[uːselaːti] /rrd/
Helianthus	ᏅᏓᏗᎧᏂ	[nvːdaːdiːkaːni] /rrd/
Hello	ᎣᏏᏳ	[oːsiːyu] /rrd/
Hello	ᏏᏲ	[siːyo] /rrd/
Helmitheros vermivorum	ᎩᏳᎬ	[kiyuːgv] /rrd/
Helping	ᎠᏍᏕᎵᎭ	[ahsdéːliha] /rrd/
Hemlock	ᏃᏄ	[noːnu] (tree) /rrd/
Hemming it	ᎠᏴᏈᏛᎥᏍᎦ	[ayvgwidv́ːʔvhsga] /rrd/
Hen Harrier	ᎠᎪᏕᎯ	[agodʔehi] /rrd/
Hen-of-the-woods	ᏫᏏ	[wiːsi] /rrd/
Here, this	ᎭᏂ	[hani] /rrd/
Hers	ᎤᏤᎵ	[uːtseːli] /rrd/
Herself	ᎤᏩᏌ	[uːwahsa] /rrd/
Hiccup	ᎤᏩᎫᏩᏍᏗ	[uwaːguwahsdi] /rrd/
Hickory	ᏩᏁᎢ	[waneʔi] /rrd/
Hickory nut	ᏐᎯ	[soːhi] /rrd/
Hickory nut soup	ᎧᏅᏥ	[kanvːtsi] /rrd/
Hiding	ᎠᏗᏍᎦᎳᏍᎦ	[adiːhsgahláhsga] /rrd/
Hiding it	ᎬᏍᎦᎸᎥᏍᎦ	[gvhsgalv́ʔvːsga] (something flexible or living) /rrd/
Hiding it	ᎬᏍᎦᎳᏗᎠ	[gvːsgaːldiʔa] (something long) /rrd/
Hiding it	ᎬᏍᎦᎳᏍᎦ	[gvːsgaːhlǎːhsga] (something solid) /rrd/
Him too	ᎯᏍᏉ	[hiːsgwo] /rrd/
Himself	ᎤᏩᏌ	[uːwahsa] /rrd/
Hinge, hinges	ᎦᏙᏌᏗᏍᏙᏗ	[gaːtoːsadisdoːhdi] /rrd/
Hip	ᎠᎧᏍᎨᏂ	[akaːsgeːni] (his) /rrd/
Hirundo rustica	ᏧᏗᏆᏅᏥ	[tsuːdigwaːntsi] /rrd/
His	ᎤᏤᎵ	[uːtseːli] /rrd/
Hitting someone in the head with it	ᎠᏍᏆᎸᎢᎭ	[ahsgwalv́ːʔiha] (something long) /rrd/
Hoar frost	ᎤᎾᏄᏍᏗ	[uːnaːʔnuhsdi] /rrd/
Hoe	ᎦᎶᎪᏗ	[galoːgoːhdi] /rrd/
Hoeing	ᎦᎶᎩᎠ	[galóːgiʔa] /rrd/
Hog	ᏏᏆ	[sikwa] /rrd/
Hog sucker	ᏓᎶᎨ	[daloːge] (plant) /rrd/
Hog-peanut	ᏚᏯ ᎢᎾᎨᎢ	[tuːya inageʔi] /rrd/
Holding it	ᎦᎾᏤᎭ	[gánhtseha] (a liquid) /rrd/
Holding it	ᎦᏁᏤᎭ	[ganhtseːha] (a liquid) /rrd/
Holding it	ᎦᏁᎭ	[gáhneha] (something flexible) /rrd/
Holding it	ᎦᏁᎭ	[ganeːha] (something long) /rrd/
Holding it	ᎦᏰᎭ	[gàːhyeːha] (something solid) /rrd/
Holding it in hand	ᎤᏩᏂᏯ	[uːwaníːyha] (something alive) /rrd/
Hole	ᎠᏔᎳᎦᏒᎢ	[atalaksvʔi] /rrd/
Hollering	ᎠᏙᎯᎠ	[atoːhiːʔa] /rrd/
Hollering	ᎤᏪᎷᎦ	[uːwehluhga] /rrd/
Hollow	ᎤᏒᏙᏂ	[uhsvdoːni] /rrd/
Hollow	ᎤᏂᏒᏙᏂ	[uːnihsvːdoni] (they are) /rrd/
Hollow mushrooms	ᎤᏂᏒᏙᏂ	[uːnihsvːdoni] /rrd/
Home	ᎤᏬᎳ	[uːwohla] (at) /rrd/
Home	ᎤᏪᏅᏒᎢ	[uːweːnvːsvːʔi] (his) /rrd/
Homesick	ᎠᎱᎳᎨᎦ	[ahuːlagoga] /rrd/
Hominy grits	ᎦᏃᎮᏂ	[ganoheːni] /rrd/
Hominy soup	ᎠᎹᎨᎢ	[amageʔi] /rrd/
Honey	ᏩᏚᎵᏏ	[waːduːliːsi] /rrd/
Honey locust	ᎧᎵᏎᏥ	[kaːhlseːtsi] /rrd/
Honey mushroom	ᎤᏂᎶᏇ	[uniloːgwe] /rrd/
Honey mushroom	ᏧᏂᎶᎩ	[tsuniːhlogi] /rrd/
Honey mushroom	ᏧᏂᎶᏇ	[tsuːniːhloːgwe] /rrd/
Honeysuckle bush	ᎬᏅᎩᎵᎩ	[kvːnvgiːhlgi] /rrd/
Honoring it	ᎦᎸᏉᏗᎭ	[galvːkwoːhdiha] /rrd/
Hoot howl	ᎤᎫᎫ	[uguːku] /rrd/
Horn	ᎦᏤᎷᎩᏍᏙᏗ	[gaːtseːhlukiːsdoːhdi] /rrd/
Horn of an animal	ᎤᏲᎾ	[uːhyoːna] /rrd/
Hornet	ᏎᏩᏓ	[seːhwada] /rrd/
Horse	ᏐᏈᎵ	[soːgwili] /rrd/
Horse	ᎤᎩᎳ	[uːhkiʔla] (on a) /rrd/
Horse corn	ᎠᏂᏒᏅᎯᏓ	[aniːsvnvhiːda] /rrd/
Hospital	ᎦᎾᎦᏙ	[gaʔnakdo] /rrd/
Hot	ᎤᏗᎴᎬᎢ	[udileːgvʔi] /rrd/
Hot	ᎦᎴᏴᏍᎦ	[galéːyvːsga] /rrd/
Hot pepper	ᎤᏥᎸ	[uːtsiʔlv] /rrd/
Hot water	ᎠᎹ ᎤᏗᎴᎩ	[am uːdihlehgi] /rrd/
Hour	ᎢᏳᏪᏅᏍᏗ	[iːyuweːnvːsdi] /rrd/
House	ᎦᎵᏦᏕ	[gaːhltsoːde] /rrd/
House	ᎦᎾᎩᎸᎢ	[ganagilvʔi] (his) /rrd/
House sparrow	ᏥᏍᏆᏯ	[tsiːsgwaːya] /rrd/
Housefly	ᏛᎧ	[dvka] /rrd/
How	ᎲᎦ	[hvːga] /rrd/
Huckleberry	ᎧᏩᏯ	[kaːwaya] /rrd/
Huckleberry bread	ᎧᏩᏯ ᎠᏑᏱ	[kawaːya asuʔyi] /rrd/
Hugging him	ᎠᏄᎩᏣᏍᎦ	[ahnuːgitshahsga] /rrd/
Humblehead	ᏥᏍᏆᎸᎾ	[tsisgwalvːna] (fish) /rrd/
Hummingbird	ᏩᎴᎳ	[waːlela] /rrd/
Hungry	ᎤᏲᏏᎭ	[uːyóːsiːha] /rrd/
Hunting animals	ᎦᏃᎵᏙᎠ	[ganóhliːdoʔha] /rrd/
Hurry	ᎤᎵᏍᏓ	[uhlihsda] /rrd/
Hurry	ᎤᏩᏅᎦ	[uːwaːnvːga] (in a) /rrd/
Hurry	ᎦᏨᏄᎳ	[gaːtsvnuːla] (in a) /rrd/
Hurrying	ᎤᏅᎦ	[uːnvːga] /rrd/
Hurrying	ᎤᏩᏅᎦ	[uːwaːnvːga] /rrd/
Husband	ᎤᏰᎯ	[uːhyehi] (her) /rrd/
Hydrangea arborescens	ᎦᎵᏉᎩ ᏧᏯᏍᏚ	[gaːhlkwoːgi tsuːyaːsdu] /rrd/
Hylocichla mustelina	ᎧᏬᎬ	[kawoːgv] /rrd/
Hymn book	ᏗᎧᏃᎩᏍᏙᏗ	[dikanogiːsdoːhdi] /rrd/
Hymnal	ᎪᏪᎵ ᏗᎧᏃᎩᏍᏗ	[goːhweːli dikanoːgiːsdi] /rrd/
Hypentelium nigricans	ᏓᎶᎨ	[daloːge] /rrd/
I	ᎠᏴ	[ayvː] /rrd/
Ice	ᎤᏁᏍᏓᎵ	[uːnehsdahli] /rrd/
Ice plant	ᎤᏁᏍᏓᎵ ᎪᏒᏍᎩ	[unehsdahl gohsvhsgi] /rrd/
Ictaluridae spp	ᏧᎵᏍᏓᎾᎵ	[tsuliːsdanaːli] /rrd/
Icteria virens	ᎱᎱ	[huːhu] /rrd/
Igniting it	ᎠᏥᏍᏓᎳᏍᎦ	[atsíːsdahlahsga] /rrd/
Ilex mucronata	ᎤᏍᏓᏍᏗ	[uhsdahsdi] /rrd/
Imitator bird	ᏩᏚᏰᎳ	[waduyeːla] /rrd/
Impatiens capensis	ᏩᎴᎷ ᎤᏂᎦᎴᎩᏍᏗ	[waleːlu unigalegisdi] /rrd/
Imposed restriction	ᎦᎦᏛᏓ	[gaktvːda] /rrd/
In	ᎬᏗ	[gvːhdi] (a language). Derived from ᎬᏗᎭ /rrd/
In a liquid	ᎬᎦ	[gvʔga] (something flexible) /rrd/
In something	ᎦᎳᎠ	[galaʔa] (something flexible) /rrd/
In something	ᎦᎳ	[gala] (something long) /rrd/
Inch	ᎢᏯᏏᏔᏛᎯ	[iyaːsiːtadvhi] /rrd/
Including	ᏓᏁᏥᏗᎭ	[daːnehdsdiha] /rrd/
Income	ᎤᏓᎶᏒ	[udaːloːsvː] /rrd/
Indian beads	ᎠᏕᏗᏯᏍᏗ	[adeːdiyaːʔsdi] /rrd/
Indian hellebore	ᎠᏍᏋᏁᏓ	[asgwvneːda] /rrd/
Indian Paint	ᏬᏗ	[woːdi] /rrd/
Indian poke	ᎠᏍᏋᏁᏓ	[asgwvneːda] /rrd/
Indigo bunting	ᎠᎵᏣᏃᏍᎦ	[aliːtsanoːsga] /rrd/
Infection	ᎤᏰᎶᎯᏎᎲᎢ	[uyeːloːhiseːhvʔi] /rrd/
Initially	ᎠᎬᏱ	[agvːyi] /rrd/
Ink pen	ᎬᏁᎯ	[gvneːhi] /rrd/
Insect	ᏥᎪᏱ	[dsgoːyi] /rrd/
Inside	ᎠᏯᎠ	[ayaʔa] /rrd/
Inside	ᎭᏫᏂ	[hawiːni] /rrd/
Inside	ᎰᏫᏂ	[howiːni] /rrd/
Intending	ᎤᏰᎸᎭ	[uːyéːlvːha] /rrd/
Interpreter	ᎦᏁᏥᏗᏍᎩ	[gaːhnetsdisgi] /rrd/
Interpreting it	ᎠᏁᏥᏗᎭ	[aːhneːtsdiha] /rrd/
Intoxicated	ᎤᏴᏍᏓᎩᎠ	[ùːyvsdágiʔa] /rrd/
Investigating, examining, checking, exploring it	ᎤᎦᏛᎲᏍᎦ	[uːkdv́hvhsga] /rrd/
Ipomoea batatas	ᏄᎾ ᎤᏂᎦᎾᏍᏓ	[nuna uniːganasda] /rrd/
Iris cristata	ᎤᏍᎦᎢ	[usgaʔhi] /rrd/
Iron	ᏗᏖᏍᏗ	[ditesdi] (to iron clothes with) /rrd/
Iron pot	ᏧᎳᏍᎩ	[tsuːlasgi] /rrd/
Ironing clothes	ᏓᏖᏍᏗᎭ	[daːhteːsdiha] /rrd/
Iroquois	ᎠᏂᏅᏓᏪᎩ	[aniːnvːdaweːgi] /rrd/
Island	ᎠᎹ ᎠᏰᎵ	[am ayehli] /rrd/
Isn't that right?	ᎭᏩᎦ	[hawaːga] /rrd/
Itching	ᎤᏲᏓᎩᎠ	[uːyóːdagiʔa] /rrd/
Itching	ᎬᎩᏣᎴᎠ	[gv́ːgitsaleʔa] /rrd/
Jack-in-the-pulpit	ᏙᏒᎾ ᎢᎾᎨ ᎡᎯ	[doːsvna inage ehi] /rrd/
Jack-in-the-pulpit	ᏚᏯᏍᏗ	[duyasdi] /rrd/
Jacket	ᎦᏌᎴᎾ	[gaːsaleːna] /rrd/
Jacket	ᏌᎧ ᎦᏌᎴᏂ	[saka gasaleːni] /rrd/
Jacket lining	ᎭᏯᎦᎸᏛᎢ	[hayaːgalvːdvʔi] /rrd/
Jail	ᏗᏓᏍᏚᏗᏳ	[didasduːdiyu] /rrd/
January	ᏚᏃᎸᏓᏂ	[dunolvːdani] /rrd/
Jaw	ᎠᏳᎪᎢ	[aːhyugoʔi] /rrd/
Jewelweed	ᏩᎴᎷ ᎤᏂᎦᎴᎩᏍᏗ	[waleːlu unigalegisdi] /rrd/
Job's tears	ᏎᎷ ᎤᏂᏥ	[seːlu uniːtsi] /rrd/
Joining	ᎠᏖᎳᏕᎭ	[atéldeha] /rrd/
Jug	ᎦᏓᎫᎦ	[gadaguːga] /rrd/
Juglans cinerea	ᎪᎯ	[koːhi] /rrd/
Juglans nigra	ᎬᏂᎨ ᏎᏘ	[gvːnige seːti] /rrd/
Juglans nigra	ᏎᏗ	[seːdi] /rrd/
July	ᎫᏰᏉᏂ	[guyegwoːni] /rrd/
Jumping	ᎠᎵᏔᏕᎦ	[ahltadéːga] /rrd/
Jumping forward	ᎠᏓᎾᏫᏗᎭ	[aːdanáːwidiha] /rrd/
Jumping up and down	ᏓᎵᏔᏕᎦ	[daːlitadega] /rrd/
Junco hyemalis	ᏚᏘ	[tuːti] /rrd/
Juncus tenuis	ᎧᏁᏍᎦ	[kaneːsga] /rrd/
June	ᏕᎷᏱ	[deːhluːyi] /rrd/
Jury	ᎠᏂᏑᎵ	[aniːsuːli] /rrd/
Just	ᏚᏳᎦᏔ	[duyuːkta] /rrd/
Just a little	ᏍᏗᎧᏓ	[sdiːkada] /rrd/
Just like that	ᏍᎩᏈᏳᏍᏗ	[sgigwiːyusdi] /rrd/
Kalmia angustifolia	ᏚᏑᎦ ᏧᎾᏍᏗ	[duːsuːg tsuːnsdi] /rrd/
Katydid	ᏥᎩᎩ	[tsigiːgi] /rrd/
Kentucky	ᎬᏅᏛᎩ	[kvːndvːgi] /rrd/
Kettle	ᎤᏔᎶᎩ	[utaloːgi] /rrd/
Key	ᏍᏚᎩᏍᏗ	[sdugiːsdi] /rrd/
Kicking him	ᎠᎶᏕᎯᎭ	[aːlóːʔdehiha] /rrd/
Kicking up his leg	ᎠᏣᏯᎧᎩᎠ	[atsaʔyakgiːʔa] /rrd/
Killer	ᎠᏓᎯ	[adáhi] /rrd/
Killing him	ᎠᎯᎭ	[ahiha] /rrd/
King	ᎤᎬᏫᏳᎯ	[uːgvːwiyuhi] /rrd/
Kingbird	ᏗᎴᏆ	[dileːgwa] /rrd/
Kingfisher	ᏣᎶᎯ	[tsaːlohi] /rrd/
Kinosternon subrubrum	ᏌᎵᎫᎩ	[salígúːgi] /rrd/
Kissing	ᎠᏍᏆᏄᏥᎦ	[ahsgwanúːʔtsga] (sucking) /rrd/
Kissing her	ᎠᏔᏪᏙᏍᎦ	[atawéːdosga] /rrd/
Kitchen	ᎠᏓᏍᏓᏴᏗ	[adasdahydi] /rrd/
Kitten	ᏪᏌ ᎠᏓᎯ	[wesa adahi] /rrd/
Knee	ᎦᏂᎨᏂ	[ganiːgeːni] (his) /rrd/
Kneeling	ᏓᎵᏂᏆᏅᎥᏍᎦ	[daːhliníːgwanvʔvːsga] /rrd/
Knife	ᎭᏰᎳᏍᏗ	[hayeːlasdi] /rrd/
Knocking it	ᎪᎲᎾᏗᎭ	[goːhvːhndiha] (a liquid) off /rrd/
Knocking it off	ᎪᎰᎾᏗᎭ	[goːhóhndiha] (something solid) /rrd/
Knocking over a stack of objects	ᎠᏌᏙᎥᏗᎭ	[ahsadoːʔvdiha] /rrd/
Knowing it	ᎠᎦᏔᎭ	[aktaha] /rrd/
Knoxville, TN	ᎪᎲᏓᏓᎳ	[kohvdaːdaːhla] /rrd/
Laboring	ᏚᎸᏫᏍᏓᏁᎭ	[duːhlvwiːsdaʔneːha] /rrd/
Lace	ᎠᎦᏖᎾ	[agateːna] /rrd/
Lacking	ᎤᎷᎳ	[uːluːʔla] /rrd/
Lacking	ᎤᏂᎬᎦ	[uːhniːgvʔga] /rrd/
Lactuca sativa	ᎠᎪᏍᏓᎩᏍᏗ	[agoːsdahgʔisdi] /rrd/
Lady's slipper orchids	ᎤᎫᏇ ᎤᎳᏑᎳ	[ukgwe ulahsula] /rrd/
Lagenaria siceraria	ᎦᎸᎾ	[galvʔna] /rrd/
Lake	ᎠᎹ ᏗᏍᏚᎲᎢ	[am dihsduhvːʔi] /rrd/
Lamp	ᎠᏨᏍᏙᏗ	[atsvhstdi] /rrd/
Lard	ᎪᎢ	[goʔi] /rrd/
Large	ᎡᏆ	[eːgwa] /rrd/
Largemouth bass	ᎤᏃᎧ	[uhnohga] /rrd/
Last	ᎣᏂ	[ohni] /rrd/
Late	ᎤᎪᏂᏲᎦ	[uːgoːniːyoʔga] /rrd/
Late	ᎤᎪᏂᏲᎦ	[uːgóhniːyoːga] /rrd/
Later	ᎪᎯᏳ	[gohiːyu] /rrd/
Laurel	ᏚᏑᎦ ᏧᎾᏍᏗ	[duːsuːg tsuːnsdi] /rrd/
Lawyer	ᏗᏘᏲᎯᎯ	[ditiyoːhihi] /rrd/
Laying it	ᎦᎮᎲᏍᎦ	[gaːhehvːsga] (a liquid) down /rrd/
Laying it down	ᎠᏗᎠ	[aʔdiʔa] (something long) /rrd/
Laying it down	ᎠᎲᏍᎦ	[ahvhsga] (something solid) /rrd/
Lazy	ᎠᏓᏄᎸᎭ	[adaːnúːlvha] /rrd/
Lead	ᎦᏂ	[gaʔni] /rrd/
Leading him	ᎨᎵᏏᏂ	[geːlisiːni] /rrd/
Leaf	ᎤᏆᎶᎦ	[uːgwaloːga] /rrd/
Leaf is falling	ᎦᏍᏗᏬᎣᏍᎦ	[gasdiwoʔoːsga] /rrd/
Leaf is turning	ᎦᎳᎪᎰᏍᎦ	[galaːgoːhoːsga] /rrd/
Learning	ᎠᏕᎶᏆᎠ	[adeːhlóhgwaʔa] /rrd/
Learning	ᎠᏙᎴᏈᎠ	[adoːhlehgwiʔa] /rrd/
Least flycatcher	ᏥᎪᏱᏙᏍᏗ	[dsgoːyiʔdosdi] (bird) /rrd/
Leaves are turning	ᎦᎶᎪᎰᏍᎦ	[galogohoːsga] /rrd/
Leaving it	ᎠᎧᎯᏱᎠ	[akahiːyiʔa] (something alive) /rrd/
Leaving it	ᎦᏂᏱᎠ	[ganíːyiʔa] (something flexible) /rrd/
Leaving it	ᎠᏗᏏᏯ	[adiʔsiːya] (something long) /rrd/
Leaving it	ᎠᎯᏱᎠ	[aːhiːyiʔa] (something solid) or it (a liquid) /rrd/
Leech	ᏣᏄᏏ	[tsaːnuːsi] /rrd/
Left	ᎠᎦᏍᎬᏂᏓ	[ahksgvniːda] (his) /rrd/
Left-handedness	ᎠᎦᏍᎬᏂᏓ	[ahksgvniːda] /rrd/
Leg	ᎦᏅᏍᎨᏂ	[ganvːsgeːni] (his) /rrd/
Lending	ᎠᏓᏙᎵᏍᏗᎭ	[adatoːlsdiha] /rrd/
Letter	ᎪᏪᎵ	[goːhweːli] /rrd/
Lettuce	ᎠᎪᏍᏓᎩᏍᏗ	[agoːsdahgʔisdi] /rrd/
Lice	ᏘᎾ	[tiːna] /rrd/
Lichen	ᎤᏣᎳ	[uːtsala] (s) /rrd/
Lifting it	ᎠᏌᎳᏓ	[ahsalaːdʔa] /rrd/
Lifting it	ᎠᏌᎳᏗᎠ	[ahsáʔldiʔa] /rrd/
Light	ᎠᏨᏍᏙᏗ	[atsvhstdi] /rrd/
Lightening	ᎠᎾᎦᎵᎭ	[anáʔgaliha] /rrd/
Lightening	ᎠᎾᎦᎵᏍᎩ	[anaʔgalihsgi] /rrd/
Lighting it	ᎠᏨᏍᏔᏍᎦ	[atsvːhstáhsga] /rrd/
Lightweight	ᎠᏌᎧᎠ	[aːhsaːkaʔa] /rrd/
Lightweight	ᏌᎧ	[saka] /rrd/
Ligusticum canadense	ᏩᏁᎩᏓ	[waneːgida] /rrd/
Like	ᎢᏳᏍᏗ	[iːyuhsdi] /rrd/
